capitulo,titulo,estado,enlace,nombre_local
154,Capitulo 154,faltante,https://www.leercapitulo.co/leer/d8nx56vvmn/gachiakuta/154/,
153,Capitulo 153,faltante,https://www.leercapitulo.co/leer/d8nx56vvmn/gachiakuta/153/,
152,Capitulo 152: Mirada fija en cosas extrañas,faltante,https://www.leercapitulo.co/leer/d8nx56vvmn/gachiakuta/152/,
151,Capitulo 151: Algo Inhumano,faltante,https://www.leercapitulo.co/leer/d8nx56vvmn/gachiakuta/151/,
150,Capitulo 150: Capitulo 150: Espera por mi,faltante,https://www.leercapitulo.co/leer/d8nx56vvmn/gachiakuta/150/,
149,"Capitulo 149: Jinki ""Conectar""",faltante,https://www.leercapitulo.co/leer/d8nx56vvmn/gachiakuta/149/,
148,Capitulo 148: Conexión,faltante,https://www.leercapitulo.co/leer/d8nx56vvmn/gachiakuta/148/,
147,Capitulo 147: Debilidad,faltante,https://www.leercapitulo.co/leer/d8nx56vvmn/gachiakuta/147/,
146,Capitulo 146: ¡Que te diviertas!,faltante,https://www.leercapitulo.co/leer/d8nx56vvmn/gachiakuta/146/,
145,Capitulo 145: Skadoosh,faltante,https://www.leercapitulo.co/leer/d8nx56vvmn/gachiakuta/145/,
144,Capitulo 144: Simple,descargado,https://www.leercapitulo.co/leer/d8nx56vvmn/gachiakuta/144/,Ch144 - Gachiakuta
143,Capitulo 143: Denja,descargado,https://www.leercapitulo.co/leer/d8nx56vvmn/gachiakuta/143/,Ch143 - Gachiakuta
142,Capitulo 142: Puntos de experiencia,descargado,https://www.leercapitulo.co/leer/d8nx56vvmn/gachiakuta/142/,Ch142 - Gachiakuta
141,Capitulo 141: Mano,descargado,https://www.leercapitulo.co/leer/d8nx56vvmn/gachiakuta/141/,Ch141 - Gachiakuta
140.2,Capitulo 140.2: Debilidad Parte 2,descargado,https://www.leercapitulo.co/leer/d8nx56vvmn/gachiakuta/140.2/,Ch140.2 - Gachiakuta
140.1,Capitulo 140.1: Debilidad (Parte 1),descargado,https://www.leercapitulo.co/leer/d8nx56vvmn/gachiakuta/140.1/,Ch140.1 - Gachiakuta
139,"Capitulo 139: Mymo, el gobernante",descargado,https://www.leercapitulo.co/leer/d8nx56vvmn/gachiakuta/139/,Ch139 - Gachiakuta
