archivo,paginas,paginas_danadas,lista_paginas,peso_total_bytes
C:\Users\VI810A2E\Downloads\Telegram Desktop\Kagurabachi\Ch1 - Kagurabachi.pdf,55,1,5,18119722
C:\Users\VI810A2E\Downloads\Telegram Desktop\Kagurabachi\Ch10 - Kagurabachi.pdf,20,0,,12997167
C:\Users\VI810A2E\Downloads\Telegram Desktop\Kagurabachi\Ch11 - Kagurabachi.pdf,19,0,,12283808
C:\Users\VI810A2E\Downloads\Telegram Desktop\Kagurabachi\Ch12 - Kagurabachi.pdf,20,0,,17082680
C:\Users\VI810A2E\Downloads\Telegram Desktop\Kagurabachi\Ch13 - Kagurabachi.pdf,21,0,,13515523
C:\Users\VI810A2E\Downloads\Telegram Desktop\Kagurabachi\Ch14 - Kagurabachi.pdf,21,0,,16419560
C:\Users\VI810A2E\Downloads\Telegram Desktop\Kagurabachi\Ch15 - Kagurabachi.pdf,19,0,,15284744
C:\Users\VI810A2E\Downloads\Telegram Desktop\Kagurabachi\Ch16 - Kagurabachi.pdf,19,0,,14723766
C:\Users\VI810A2E\Downloads\Telegram Desktop\Kagurabachi\Ch17 - Kagurabachi.pdf,19,0,,14646988
C:\Users\VI810A2E\Downloads\Telegram Desktop\Kagurabachi\Ch18 - Kagurabachi.pdf,19,0,,14352897
C:\Users\VI810A2E\Downloads\Telegram Desktop\Kagurabachi\Ch19 - Kagurabachi.pdf,21,0,,16266805
C:\Users\VI810A2E\Downloads\Telegram Desktop\Kagurabachi\Ch2 - Kagurabachi.pdf,26,0,,19436392
C:\Users\VI810A2E\Downloads\Telegram Desktop\Kagurabachi\Ch20 - Kagurabachi.pdf,19,0,,12424767
C:\Users\VI810A2E\Downloads\Telegram Desktop\Kagurabachi\Ch21 - Kagurabachi.pdf,19,0,,13406829
C:\Users\VI810A2E\Downloads\Telegram Desktop\Kagurabachi\Ch22 - Kagurabachi.pdf,19,0,,12955424
C:\Users\VI810A2E\Downloads\Telegram Desktop\Kagurabachi\Ch23 - Kagurabachi.pdf,21,0,,14700185
C:\Users\VI810A2E\Downloads\Telegram Desktop\Kagurabachi\Ch24 - Kagurabachi.pdf,19,0,,15037620
C:\Users\VI810A2E\Downloads\Telegram Desktop\Kagurabachi\Ch25 - Kagurabachi.pdf,19,0,,14189941
C:\Users\VI810A2E\Downloads\Telegram Desktop\Kagurabachi\Ch26 - Kagurabachi.pdf,19,0,,13387869
C:\Users\VI810A2E\Downloads\Telegram Desktop\Kagurabachi\Ch27 - Kagurabachi.pdf,19,0,,12244468
C:\Users\VI810A2E\Downloads\Telegram Desktop\Kagurabachi\Ch28 - Kagurabachi.pdf,19,0,,13478257
C:\Users\VI810A2E\Downloads\Telegram Desktop\Kagurabachi\Ch29 - Kagurabachi.pdf,19,0,,12366741
C:\Users\VI810A2E\Downloads\Telegram Desktop\Kagurabachi\Ch3 - Kagurabachi.pdf,24,0,,19422719
